job_id	B 12 13	A 11 9 10	C	O	O	H	B	H	H
104	1.371	124.966	0.717	-0.756	-0.621	0.100	0.174	-0.065	-0.018
105	1.394	124.311	0.686	-0.763	-0.626	0.114	0.212	-0.068	-0.022
106	1.418	123.638	0.659	-0.770	-0.631	0.126	0.247	-0.071	-0.026
107	1.443	122.973	0.635	-0.776	-0.636	0.136	0.280	-0.075	-0.030
108	1.469	122.343	0.617	-0.780	-0.641	0.142	0.310	-0.078	-0.034
109	1.496	121.772	0.602	-0.784	-0.646	0.146	0.338	-0.081	-0.038
110	1.524	121.269	0.591	-0.788	-0.651	0.147	0.363	-0.084	-0.042
111	1.552	120.811	0.581	-0.790	-0.656	0.148	0.388	-0.087	-0.046
112	1.58	120.405	0.574	-0.793	-0.661	0.147	0.411	-0.090	-0.050
113	1.61	119.981	0.565	-0.796	-0.666	0.147	0.435	-0.093	-0.053
114	1.641	119.703	0.563	-0.797	-0.672	0.144	0.454	-0.095	-0.057
115	1.641	119.647	0.560	-0.798	-0.671	0.144	0.458	-0.096	-0.057
116	1.642	119.485	0.553	-0.799	-0.670	0.149	0.461	-0.096	-0.057
117	1.679	119.097	0.551	-0.801	-0.676	0.145	0.484	-0.100	-0.061
118	1.717	118.73	0.549	-0.802	-0.683	0.140	0.510	-0.103	-0.066
119	1.758	118.334	0.545	-0.805	-0.690	0.137	0.536	-0.107	-0.070
120	1.8	117.927	0.541	-0.807	-0.696	0.134	0.560	-0.110	-0.074
121	1.841	117.58	0.539	-0.809	-0.701	0.131	0.582	-0.114	-0.078
122	1.882	117.245	0.538	-0.811	-0.706	0.129	0.602	-0.117	-0.082
123	1.921	116.952	0.537	-0.813	-0.711	0.126	0.620	-0.120	-0.086
124	1.961	116.664	0.537	-0.814	-0.715	0.124	0.636	-0.123	-0.089
125	1.998	116.416	0.537	-0.815	-0.718	0.122	0.649	-0.125	-0.092
126	2.036	116.143	0.538	-0.817	-0.721	0.121	0.661	-0.128	-0.094
127	2.07	115.893	0.538	-0.818	-0.723	0.119	0.671	-0.130	-0.096
128	2.103	115.63	0.539	-0.819	-0.724	0.119	0.678	-0.132	-0.097
129	2.132	115.369	0.540	-0.819	-0.725	0.118	0.683	-0.134	-0.098
130	2.158	115.105	0.540	-0.820	-0.724	0.118	0.685	-0.136	-0.099
131	2.181	114.842	0.541	-0.821	-0.722	0.118	0.684	-0.137	-0.098
132	2.203	114.589	0.541	-0.821	-0.719	0.118	0.682	-0.137	-0.098
133	2.222	114.35	0.541	-0.822	-0.715	0.119	0.678	-0.137	-0.097
134	2.24	114.127	0.542	-0.822	-0.711	0.120	0.672	-0.137	-0.097
135	2.258	113.923	0.542	-0.823	-0.707	0.121	0.666	-0.136	-0.096
136	2.274	113.742	0.542	-0.823	-0.702	0.122	0.659	-0.136	-0.095
137	2.288	113.589	0.542	-0.823	-0.697	0.123	0.652	-0.135	-0.094
138	2.303	113.455	0.542	-0.824	-0.693	0.124	0.644	-0.133	-0.093
139	2.318	113.347	0.542	-0.824	-0.689	0.125	0.637	-0.132	-0.092
140	2.333	113.268	0.542	-0.825	-0.685	0.126	0.630	-0.130	-0.091
141	2.348	113.215	0.543	-0.825	-0.682	0.127	0.624	-0.129	-0.090
142	2.363	113.189	0.543	-0.826	-0.680	0.128	0.618	-0.127	-0.090
143	2.377	113.189	0.543	-0.826	-0.677	0.129	0.613	-0.125	-0.089
144	2.392	113.214	0.544	-0.826	-0.676	0.130	0.609	-0.124	-0.089
145	2.407	113.263	0.544	-0.827	-0.675	0.131	0.606	-0.122	-0.089
146	2.42	113.34	0.544	-0.827	-0.674	0.131	0.604	-0.121	-0.089
147	2.433	113.433	0.545	-0.827	-0.674	0.132	0.602	-0.120	-0.089
148	2.445	113.537	0.545	-0.827	-0.675	0.133	0.601	-0.119	-0.089
149	2.454	113.636	0.545	-0.827	-0.675	0.133	0.600	-0.118	-0.090
150	2.462	113.722	0.545	-0.827	-0.676	0.133	0.600	-0.118	-0.090
151	2.467	113.778	0.546	-0.827	-0.677	0.133	0.600	-0.117	-0.090
152	2.471	113.81	0.546	-0.827	-0.678	0.133	0.600	-0.117	-0.091
153	2.474	113.811	0.546	-0.827	-0.679	0.133	0.600	-0.117	-0.091
154	2.477	113.805	0.547	-0.827	-0.680	0.133	0.600	-0.116	-0.091
155	2.479	113.78	0.547	-0.827	-0.681	0.133	0.600	-0.116	-0.091
156	2.481	113.748	0.547	-0.827	-0.682	0.133	0.601	-0.116	-0.091
157	2.483	113.72	0.548	-0.827	-0.682	0.133	0.601	-0.116	-0.092
158	2.485	113.696	0.548	-0.827	-0.683	0.132	0.602	-0.116	-0.092
159	2.486	113.677	0.548	-0.827	-0.684	0.132	0.602	-0.116	-0.092
160	2.488	113.663	0.549	-0.827	-0.685	0.132	0.603	-0.116	-0.092
161	2.49	113.654	0.549	-0.828	-0.686	0.132	0.604	-0.115	-0.093
162	2.491	113.648	0.549	-0.828	-0.687	0.132	0.604	-0.115	-0.093
163	2.493	113.645	0.550	-0.828	-0.688	0.131	0.605	-0.115	-0.093
164	2.495	113.647	0.550	-0.828	-0.689	0.131	0.606	-0.115	-0.093
165	2.498	113.648	0.550	-0.829	-0.690	0.131	0.606	-0.115	-0.093
166	2.5	113.66	0.550	-0.829	-0.690	0.131	0.607	-0.114	-0.094
167	2.502	113.681	0.550	-0.829	-0.691	0.131	0.608	-0.114	-0.094
168	2.505	113.698	0.550	-0.830	-0.692	0.130	0.609	-0.114	-0.094
169	2.508	113.71	0.551	-0.830	-0.693	0.130	0.609	-0.114	-0.094
170	2.512	113.726	0.551	-0.830	-0.694	0.130	0.610	-0.114	-0.094
171	2.515	113.739	0.551	-0.831	-0.695	0.130	0.611	-0.114	-0.095
172	2.519	113.754	0.551	-0.831	-0.696	0.130	0.612	-0.113	-0.095
173	2.523	113.765	0.551	-0.831	-0.697	0.130	0.612	-0.113	-0.095
174	2.528	113.783	0.551	-0.832	-0.697	0.130	0.613	-0.113	-0.095
175	2.533	113.786	0.551	-0.832	-0.698	0.129	0.614	-0.113	-0.095
176	2.538	113.832	0.551	-0.832	-0.699	0.129	0.614	-0.112	-0.096
177	2.544	113.853	0.551	-0.833	-0.700	0.129	0.615	-0.112	-0.096
178	2.55	113.873	0.551	-0.833	-0.701	0.129	0.616	-0.112	-0.096
179	2.556	113.885	0.551	-0.834	-0.702	0.129	0.617	-0.111	-0.096
180	2.563	113.905	0.551	-0.834	-0.702	0.129	0.618	-0.111	-0.096
181	2.57	113.92	0.551	-0.834	-0.703	0.129	0.619	-0.111	-0.097
182	2.578	113.943	0.551	-0.835	-0.704	0.129	0.619	-0.110	-0.097
