CO_{2};CO_{2};CO_{2} - BH3;CO_{2} - BH3;CO_{2} - BH3;;;;;;BH_{3};BH_{3};BH_{3} - BH3;BH_{3} - BH3;BH_{3} - BH3;BH_{3} - Add-CO2;BH_{3} - Add-CO2;BH_{3} - Add-CO2;;;AlH_{3};AlH_{3};AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - BH3;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;AlH_{3} - Add-CO2;;;NMe_{3};NMe_{3};NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - BH3;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;NMe_{3} - Add-CO2;;PMe_{3};PMe_{3};PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - BH3;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;PMe_{3} - Add-CO2;;NCB;NCB;NCB - BH3;NCB - BH3;NCB - BH3;NCB - Add-CO2;NCB - Add-CO2;NCB - Add-CO2;;;NCAl;NCAl;NCAl - BH3;NCAl - BH3;NCAl - BH3;NCAl - Add-CO2;NCAl - Add-CO2;NCAl - Add-CO2;;;PCB;PCB;PCB - BH3;PCB - BH3;PCB - BH3;PCB - Add-CO2;PCB - Add-CO2;PCB - Add-CO2;;;PCAl;PCAl;PCAl - BH3;PCAl - BH3;PCAl - BH3;PCAl - Add-CO2;PCAl - Add-CO2;PCAl - Add-CO2;;;NMe2B;NMe2B;NMe2B - BH3;NMe2B - BH3;NMe2B - BH3;NMe2B - Add-CO2;NMe2B - Add-CO2;NMe2B - Add-CO2;;;NMe2Al;NMe2Al;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - BH3;NMe2Al - Add-CO2;NMe2Al - Add-CO2;NMe2Al - Add-CO2;;;PMe2B;PMe2B;PMe2B - BH3;PMe2B - BH3;PMe2B - BH3;PMe2B - Add-CO2;PMe2B - Add-CO2;PMe2B - Add-CO2;;;PMe2Al;PMe2Al;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - BH3;PMe2Al - Add-CO2;PMe2Al - Add-CO2;PMe2Al - Add-CO2
BH distance;OCO angle;Strain;Interaction;Total Energy;;;;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag NMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;Frag PMe3;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy;;;BH distance;OCO angle;Strain;Interaction;Total Energy;Strain;Interaction;Total Energy
2.664;123.752;193.486;-205.871;-12.39;;;;;;2.404;125.270;177.023;-195.401;-18.378;;;;;;2.575;123.288;183.437;-208.838;-25.401;;;;;;2.390;123.253;188.090;-203.902;-15.812;2.97;-7.14;-4.173;;;;;;;;;;;;;1.233;131.349;18.841;-23.547;-4.706;;;;;;1.221;131.571;12.873;-21.360;-8.487;;;;;;1.237;128.390;17.534;-25.100;-7.566;;;;;;1.238;128.192;16.971;-24.590;-7.619;;;;;;1.975;115.671;145.426;-154.749;-9.323;;;;;;2.192;116.605;165.875;-187.318;-21.443;;;;;;1.232;127.267;17.214;-26.997;-9.783;;;;;;1.231;127.117;15.644;-25.276;-9.632;;;
2.691;123.687;194.572;-207.160;-12.59;;;;;;2.419;125.134;178.002;-196.918;-18.916;;;;;;2.593;123.161;184.450;-210.147;-25.697;;;;;;2.400;123.084;189.685;-206.452;-16.767;2.93;-7.14;-4.210;;;;;;;;;;;;;1.237;131.123;20.327;-24.515;-4.188;;;;;;1.222;131.497;13.422;-21.637;-8.215;;;;;;1.240;128.238;18.566;-25.739;-7.173;;;;;;1.241;128.047;17.944;-25.246;-7.302;;;;;;2.002;115.600;147.775;-157.482;-9.707;;;;;;2.206;116.649;167.527;-189.853;-22.326;;;;;;1.233;127.176;17.886;-27.397;-9.510;;;;;;1.232;127.031;16.209;-25.636;-9.427;;;
2.717;123.628;195.622;-208.385;-12.76;;;;;;2.434;124.994;178.989;-198.432;-19.443;;;;;;2.610;123.036;185.447;-211.425;-25.977;;;;;;2.410;122.918;191.252;-208.952;-17.700;2.90;-7.14;-4.243;;;;;;;;;;;;;1.241;130.862;21.966;-25.647;-3.681;;;;;;1.223;131.409;14.067;-21.985;-7.918;;;;;;1.242;128.059;19.731;-26.474;-6.743;;;;;;1.243;127.883;19.044;-25.997;-6.953;;;;;;2.028;115.549;149.990;-160.086;-10.096;;;;;;2.220;116.685;169.133;-192.348;-23.215;;;;;;1.235;127.061;18.672;-27.884;-9.212;;;;;;1.234;126.928;16.865;-26.067;-9.202;;;
2.743;123.575;196.635;-209.548;-12.91;;;;;;2.448;124.848;179.987;-199.944;-19.957;;;;;;2.627;122.914;186.426;-212.668;-26.241;;;;;;2.419;122.758;192.765;-211.367;-18.602;2.88;-7.15;-4.271;;;;;;;;;;;;;1.246;130.564;23.773;-26.976;-3.203;;;;;;1.225;131.306;14.821;-22.414;-7.593;;;;;;1.245;127.853;21.034;-27.314;-6.281;;;;;;1.246;127.694;20.281;-26.856;-6.575;;;;;;2.054;115.520;152.075;-162.567;-10.492;;;;;;2.234;116.713;170.718;-194.821;-24.103;;;;;;1.237;126.924;19.572;-28.458;-8.886;;;;;;1.236;126.810;17.621;-26.576;-8.955;;;
2.769;123.529;197.612;-210.650;-13.04;;;;;;2.463;124.694;181.007;-201.463;-20.456;;;;;;2.644;122.797;187.384;-213.873;-26.489;;;;;;2.427;122.604;194.231;-213.694;-19.463;2.86;-7.16;-4.296;;;;;;;;;;;;;1.252;130.230;25.760;-28.533;-2.773;;;;;;1.226;131.184;15.700;-22.937;-7.237;;;;;;1.249;127.617;22.483;-28.274;-5.790;;;;;;1.250;127.480;21.662;-27.837;-6.175;;;;;;2.079;115.512;154.038;-164.935;-10.897;;;;;;2.248;116.732;172.235;-197.218;-24.983;;;;;;1.240;126.760;20.597;-29.126;-8.529;;;;;;1.238;126.672;18.488;-27.170;-8.682;;;
2.794;123.488;198.555;-211.694;-13.14;;;;;;2.477;124.529;182.059;-202.994;-20.936;;;;;;2.660;122.683;188.319;-215.040;-26.721;;;;;;2.435;122.460;195.588;-215.860;-20.272;2.86;-7.17;-4.317;;;;;;;;;;;;;1.258;129.858;27.936;-30.345;-2.408;;;;;;1.229;131.042;16.713;-23.562;-6.849;;;;;;1.253;127.349;24.077;-29.358;-5.281;;;;;;1.254;127.238;23.184;-28.945;-5.761;;;;;;2.102;115.527;155.892;-167.206;-11.313;;;;;;2.261;116.738;173.745;-199.594;-25.849;;;;;;1.243;126.568;21.755;-29.896;-8.141;;;;;;1.240;126.514;19.470;-27.854;-8.384;;;
2.819;123.459;199.365;-212.586;-13.22;;;;;;2.492;124.352;183.149;-204.544;-21.395;;;;;;2.677;122.572;189.238;-216.175;-26.937;;;;;;2.442;122.317;196.969;-217.986;-21.017;2.85;-7.19;-4.335;;;;;;;;;;;;;1.266;129.452;30.292;-32.420;-2.128;;;;;;1.231;130.875;17.866;-24.300;-6.434;;;;;;1.258;127.049;25.822;-30.587;-4.764;;;;;;1.259;126.967;24.854;-30.197;-5.343;;;;;;2.125;115.566;157.636;-169.383;-11.747;;;;;;2.274;116.735;175.106;-201.799;-26.694;;;;;;1.246;126.345;23.057;-30.783;-7.726;;;;;;1.243;126.333;20.578;-28.639;-8.062;;;
2.843;123.427;200.255;-213.537;-13.28;;;;;;2.507;124.165;184.273;-206.105;-21.833;;;;;;2.693;122.463;190.149;-217.287;-27.138;;;;;;2.448;122.211;197.891;-219.580;-21.689;2.86;-7.21;-4.352;;;;;;;;;;;;;1.275;129.016;32.844;-34.793;-1.948;;;;;;1.235;130.679;19.171;-25.170;-5.999;;;;;;1.264;126.716;27.727;-31.983;-4.256;;;;;;1.264;126.666;26.677;-31.615;-4.939;;;;;;2.146;115.627;159.272;-171.476;-12.205;;;;;;2.287;116.709;176.612;-204.121;-27.509;;;;;;1.251;126.091;24.502;-31.791;-7.289;;;;;;1.247;126.129;21.826;-29.543;-7.718;;;
2.867;123.408;201.069;-214.394;-13.32;;;;;;2.523;123.968;185.429;-207.677;-22.247;;;;;;2.709;122.357;191.048;-218.372;-27.324;;;;;;2.456;122.063;199.574;-221.825;-22.251;2.86;-7.23;-4.367;;;;;;;;;;;;;1.286;128.533;35.691;-37.576;-1.885;;;;;;1.238;130.451;20.638;-26.193;-5.555;;;;;;1.270;126.351;29.817;-33.590;-3.773;;;;;;1.270;126.334;28.676;-33.239;-4.564;;;;;;2.166;115.706;160.826;-173.519;-12.693;;;;;;2.298;116.689;177.577;-205.859;-28.283;;;;;;1.255;125.804;26.095;-32.936;-6.841;;;;;;1.251;125.897;23.218;-30.576;-7.358;;;
2.884;123.399;201.631;-214.995;-13.36;;;;;;2.539;123.762;186.615;-209.253;-22.637;;;;;;2.725;122.256;191.926;-219.421;-27.495;;;;;;2.453;122.104;198.854;-221.144;-22.290;2.86;-7.23;-4.367;;;;;;;;;;;;;1.297;128.024;38.791;-40.743;-1.952;;;;;;1.243;130.188;22.264;-27.378;-5.114;;;;;;1.278;125.956;32.073;-35.405;-3.332;;;;;;1.277;125.972;30.853;-35.089;-4.236;;;;;;2.184;115.800;162.327;-175.550;-13.223;;;;;;2.311;116.630;179.059;-208.086;-29.027;;;;;;1.261;125.485;27.840;-34.232;-6.393;;;;;;1.255;125.638;24.747;-31.738;-6.991;;;
2.890;123.384;201.895;-215.332;-13.44;;;;;;2.555;123.549;187.822;-210.825;-23.003;;;;;;2.741;122.160;192.778;-220.429;-27.651;;;;;;;;;;;;;;;;;;;;;;;;;;1.311;127.472;42.218;-44.373;-2.156;;;;;;1.248;129.888;24.062;-28.755;-4.694;;;;;;1.287;125.530;34.513;-37.467;-2.953;;;;;;1.286;125.582;33.192;-37.168;-3.975;;;;;;2.201;115.905;163.791;-177.590;-13.799;;;;;;2.324;116.553;180.329;-210.053;-29.724;;;;;;1.267;125.134;29.766;-35.728;-5.961;;;;;;1.260;125.350;26.425;-33.056;-6.631;;;
2.892;123.330;202.205;-215.778;-13.57;;;;;;2.572;123.335;189.040;-212.383;-23.343;;;;;;2.756;122.069;193.604;-221.399;-27.795;;;;;;;;;;;;;;;;;;;;;;;;;;1.327;126.898;46.013;-48.509;-2.496;;;;;;1.253;129.551;26.042;-30.353;-4.311;;;;;;1.297;125.077;37.145;-39.804;-2.659;;;;;;1.296;125.162;35.740;-39.544;-3.804;;;;;;2.216;116.016;165.253;-179.679;-14.426;;;;;;2.334;116.494;180.814;-211.150;-30.336;;;;;;1.275;124.752;31.868;-37.431;-5.563;;;;;;1.267;125.034;28.271;-34.565;-6.294;;;
2.891;123.263;202.468;-216.233;-13.76;;;;;;2.589;123.122;190.256;-213.915;-23.659;;;;;;2.770;121.981;194.409;-222.338;-27.929;;;;;;;;;;;;;;;;;;;;;;;;;;1.346;126.294;50.296;-53.251;-2.955;;;;;;1.260;129.177;28.224;-32.208;-3.984;;;;;;1.310;124.592;40.052;-42.523;-2.471;;;;;;1.308;124.714;38.567;-42.310;-3.743;;;;;;2.231;116.131;166.686;-181.786;-15.100;;;;;;2.346;116.369;182.174;-213.147;-30.973;;;;;;1.284;124.341;34.145;-39.363;-5.218;;;;;;1.274;124.689;30.306;-36.304;-5.998;;;
2.889;123.175;202.803;-216.814;-14.01;;;;;;2.606;122.916;191.457;-215.410;-23.953;;;;;;2.783;121.895;195.184;-223.246;-28.061;;;;;;;;;;;;;;;;;;;;;;;;;;1.367;125.662;55.142;-58.636;-3.494;;;;;;1.268;128.769;30.589;-34.318;-3.728;;;;;;1.326;124.083;43.323;-45.730;-2.406;;;;;;1.322;124.246;41.656;-45.466;-3.810;;;;;;2.244;116.245;168.114;-183.933;-15.819;;;;;;2.358;116.231;183.244;-214.762;-31.518;;;;;;1.294;123.904;36.619;-41.567;-4.948;;;;;;1.282;124.317;32.497;-38.258;-5.760;;;
2.885;123.073;203.164;-217.475;-14.31;;;;;;2.624;122.721;192.629;-216.854;-24.225;;;;;;2.794;121.808;195.919;-224.129;-28.210;;;;;;;;;;;;;;;;;;;;;;;;;;1.389;125.004;60.591;-64.648;-4.057;;;;;;1.277;128.320;33.188;-36.752;-3.564;;;;;;1.342;123.554;46.888;-49.361;-2.473;;;;;;1.337;123.754;45.066;-49.081;-4.015;;;;;;2.257;116.356;169.515;-186.095;-16.580;;;;;;2.369;116.079;184.079;-216.092;-32.012;;;;;;1.306;123.435;39.363;-44.137;-4.774;;;;;;1.292;123.915;34.894;-40.497;-5.603;;;
2.880;122.955;203.585;-218.242;-14.66;;;;;;2.643;122.540;193.765;-218.242;-24.477;;;;;;2.800;121.720;196.584;-224.976;-28.392;;;;;;;;;;;;;;;;;;;;;;;;;;1.413;124.322;66.568;-71.155;-4.587;;;;;;1.289;127.831;36.077;-39.582;-3.505;;;;;;1.361;123.002;50.900;-53.560;-2.660;;;;;;1.356;123.241;48.912;-53.265;-4.353;;;;;;2.269;116.462;170.930;-188.309;-17.379;;;;;;2.380;115.904;184.897;-217.349;-32.453;;;;;;1.321;122.941;42.460;-47.173;-4.713;;;;;;1.304;123.484;37.551;-43.098;-5.547;;;
2.874;122.826;204.021;-219.070;-15.05;;;;;;2.661;122.372;194.864;-219.573;-24.709;;;;;;2.803;121.622;197.154;-225.777;-28.622;;;;;;;;;;;;;;;;;;;;;;;;;;1.438;123.637;72.818;-77.869;-5.051;;;;;;1.301;127.319;39.230;-42.798;-3.568;;;;;;1.384;122.429;55.496;-58.432;-2.936;;;;;;1.376;122.709;53.299;-58.092;-4.793;;;;;;2.280;116.561;172.336;-190.545;-18.209;;;;;;2.391;115.709;185.600;-218.441;-32.840;;;;;;1.321;122.941;42.460;-47.173;-4.713;;;;;;1.304;123.484;37.551;-43.098;-5.547;;;
2.867;122.685;204.496;-219.973;-15.48;;;;;;2.680;122.217;195.928;-220.850;-24.922;;;;;;2.803;121.501;197.807;-226.719;-28.912;;;;;;;;;;;;;;;;;;;;;;;;;;1.464;122.973;78.972;-84.418;-5.446;;;;;;1.314;126.776;42.698;-46.458;-3.761;;;;;;1.407;121.841;60.627;-63.873;-3.246;;;;;;1.399;122.160;58.264;-63.544;-5.280;;;;;;2.291;116.649;173.768;-192.829;-19.061;;;;;;2.401;115.495;186.246;-219.424;-33.178;;;;;;1.337;122.430;45.846;-50.623;-4.776;;;;;;1.317;123.036;40.467;-46.077;-5.610;;;
2.858;122.542;204.950;-220.886;-15.94;;;;;;2.699;122.074;196.957;-222.074;-25.117;;;;;;2.801;121.355;198.532;-227.780;-29.249;;;;;;;;;;;;;;;;;;;;;;;;;;1.492;122.361;84.666;-90.455;-5.789;;;;;;1.331;126.201;46.560;-50.643;-4.083;;;;;;1.431;121.261;66.069;-69.612;-3.542;;;;;;1.422;121.605;63.708;-69.463;-5.755;;;;;;2.302;116.729;175.156;-195.081;-19.926;;;;;;2.411;115.268;186.796;-220.267;-33.471;;;;;;1.356;121.895;49.665;-54.623;-4.958;;;;;;1.332;122.565;43.685;-49.491;-5.806;;;
2.849;122.392;205.442;-221.863;-16.42;;;;;;2.717;121.942;197.954;-223.248;-25.294;;;;;;2.797;121.194;199.345;-228.970;-29.625;;;;;;;;;;;;;;;;;;;;;;;;;;1.520;121.810;89.802;-95.901;-6.099;;;;;;1.350;125.597;50.928;-55.445;-4.517;;;;;;1.455;120.723;71.308;-75.115;-3.807;;;;;;1.445;121.069;69.358;-75.539;-6.182;;;;;;2.312;116.793;176.574;-197.369;-20.795;;;;;;2.420;115.034;187.293;-221.016;-33.723;;;;;;1.378;121.340;54.060;-59.290;-5.230;;;;;;1.350;122.071;47.314;-53.448;-6.134;;;
2.837;122.249;205.844;-222.770;-16.93;;;;;;2.736;121.819;198.919;-224.373;-25.454;;;;;;2.791;121.056;199.957;-229.998;-30.041;;;;;;;;;;;;;;;;;;;;;;;;;;1.548;121.337;94.511;-100.900;-6.389;;;;;;1.371;124.966;55.882;-60.905;-5.023;;;;;;1.479;120.278;75.896;-79.942;-4.046;;;;;;1.469;120.579;74.682;-81.237;-6.554;;;;;;2.322;116.847;177.879;-199.540;-21.662;;;;;;2.428;114.805;187.682;-221.624;-33.942;;;;;;1.401;120.767;59.059;-64.600;-5.542;;;;;;1.370;121.558;51.467;-58.035;-6.568;;;
2.825;122.097;206.383;-223.826;-17.44;;;;;;2.754;121.704;199.850;-225.450;-25.600;;;;;;2.784;120.888;200.738;-231.232;-30.494;;;;;;;;;;;;;;;;;;;;;;;;;;1.578;120.879;99.044;-105.711;-6.667;;;;;;1.394;124.311;61.447;-66.994;-5.547;;;;;;1.501;119.926;79.710;-83.975;-4.265;;;;;;1.492;120.154;79.302;-86.189;-6.887;;;;;;2.333;116.877;179.328;-201.846;-22.518;;;;;;2.435;114.585;188.052;-222.187;-34.135;;;;;;1.425;120.197;64.525;-70.363;-5.839;;;;;;1.392;121.029;56.228;-63.288;-7.060;;;
2.810;121.969;206.675;-224.647;-17.97;;;;;;2.772;121.597;200.737;-226.472;-25.735;;;;;;2.775;120.691;201.706;-232.672;-30.967;;;;;;;;;;;;;;;;;;;;;;;;;;1.609;120.559;103.235;-110.173;-6.939;;;;;;1.418;123.638;67.512;-73.547;-6.035;;;;;;1.523;119.557;83.210;-87.681;-4.471;;;;;;1.514;119.777;83.256;-90.450;-7.194;;;;;;2.341;116.909;180.386;-203.739;-23.353;;;;;;2.441;114.393;188.266;-222.572;-34.306;;;;;;1.450;119.667;70.025;-76.121;-6.096;;;;;;1.416;120.488;61.585;-69.133;-7.548;;;
2.795;121.827;207.183;-225.682;-18.50;;;;;;2.787;121.494;201.574;-227.447;-25.873;;;;;;2.763;120.567;202.167;-233.612;-31.445;;;;;;;;;;;;;;;;;;;;;;;;;;1.610;120.512;103.299;-110.246;-6.947;;;;;;1.443;122.973;73.764;-80.223;-6.460;;;;;;1.548;119.326;86.587;-91.256;-4.669;;;;;;1.538;119.462;86.886;-94.368;-7.482;;;;;;2.353;116.882;182.160;-206.311;-24.150;;;;;;2.447;114.207;188.610;-223.069;-34.459;;;;;;1.474;119.242;74.904;-81.221;-6.317;;;;;;1.440;119.958;67.373;-75.354;-7.982;;;
2.777;121.729;207.323;-226.342;-19.02;;;;;;2.799;121.406;202.291;-228.320;-26.029;;;;;;2.752;120.388;203.055;-235.011;-31.956;;;;;;;;;;;;;;;;;;;;;;;;;;1.616;120.068;106.264;-113.086;-6.823;;;;;;1.469;122.343;79.791;-86.616;-6.825;;;;;;1.571;118.943;90.095;-94.964;-4.869;;;;;;1.560;119.105;90.368;-98.122;-7.753;;;;;;2.361;116.875;183.040;-207.991;-24.950;;;;;;2.451;114.085;188.536;-223.128;-34.592;;;;;;1.497;118.956;78.928;-85.440;-6.512;;;;;;1.464;119.473;73.094;-81.440;-8.346;;;
2.759;121.635;207.554;-227.082;-19.53;;;;;;2.806;121.306;202.929;-229.161;-26.232;;;;;;2.738;120.230;203.823;-236.272;-32.449;;;;;;;;;;;;;;;;;;;;;;;;;;1.644;119.845;109.525;-116.740;-7.215;;;;;;1.496;121.772;85.246;-92.396;-7.150;;;;;;1.596;118.717;93.363;-98.430;-5.067;;;;;;1.587;118.942;93.604;-101.603;-7.999;;;;;;2.369;116.841;184.067;-209.762;-25.694;;;;;;2.455;113.944;188.935;-223.668;-34.733;;;;;;1.519;118.663;82.197;-88.891;-6.694;;;;;;1.488;119.066;78.191;-86.845;-8.654;;;
2.742;121.520;208.086;-228.082;-20.00;;;;;;2.808;121.213;203.487;-229.965;-26.478;;;;;;2.723;120.094;204.483;-237.412;-32.929;;;;;;;;;;;;;;;;;;;;;;;;;;1.678;119.551;113.233;-120.812;-7.579;;;;;;1.524;121.269;90.114;-97.567;-7.453;;;;;;1.621;118.384;96.920;-102.186;-5.266;;;;;;1.610;118.495;97.124;-105.382;-8.258;;;;;;2.379;116.775;185.167;-211.564;-26.396;;;;;;2.459;113.844;188.978;-223.840;-34.862;;;;;;1.543;118.485;85.496;-92.360;-6.864;;;;;;1.512;118.738;82.343;-91.271;-8.928;;;
2.718;121.500;207.800;-228.263;-20.46;;;;;;2.810;121.082;204.152;-230.935;-26.783;;;;;;2.706;119.977;205.099;-238.484;-33.386;;;;;;;;;;;;;;;;;;;;;;;;;;1.716;119.212;117.888;-125.827;-7.940;;;;;;1.552;120.811;94.604;-102.349;-7.745;;;;;;1.645;118.180;99.866;-105.331;-5.465;;;;;;1.636;118.358;100.331;-108.866;-8.535;;;;;;2.388;116.686;186.141;-213.192;-27.051;;;;;;2.462;113.765;189.060;-224.038;-34.977;;;;;;1.565;118.182;88.669;-95.700;-7.031;;;;;;1.535;118.476;85.906;-95.086;-9.180;;;
2.698;121.441;208.165;-229.068;-20.90;;;;;;2.809;120.934;204.900;-232.021;-27.122;;;;;;2.687;119.886;205.614;-239.425;-33.811;;;;;;;;;;;;;;;;;;;;;;;;;;1.754;118.849;122.767;-131.075;-8.307;;;;;;1.580;120.405;98.920;-106.952;-8.032;;;;;;1.671;117.848;103.506;-109.176;-5.670;;;;;;1.661;118.074;103.732;-112.530;-8.798;;;;;;2.397;116.570;187.060;-214.715;-27.655;;;;;;2.466;113.683;189.275;-224.360;-35.086;;;;;;1.589;117.946;92.019;-99.214;-7.195;;;;;;1.558;118.207;89.217;-98.633;-9.416;;;
2.673;121.451;207.853;-229.158;-21.30;;;;;;2.805;120.799;205.445;-232.951;-27.506;;;;;;2.668;119.825;206.031;-240.226;-34.195;;;;;;;;;;;;;;;;;;;;;;;;;;1.792;118.522;127.233;-135.918;-8.685;;;;;;1.610;119.981;103.190;-111.507;-8.317;;;;;;1.697;117.661;106.365;-112.246;-5.881;;;;;;1.686;117.818;107.102;-116.154;-9.052;;;;;;2.405;116.428;187.882;-216.089;-28.207;;;;;;2.469;113.641;189.242;-224.431;-35.189;;;;;;1.611;117.805;94.845;-102.195;-7.350;;;;;;1.583;118.052;92.445;-102.080;-9.635;;;
2.650;121.436;208.029;-229.697;-21.67;;;;;;2.801;120.647;206.137;-234.057;-27.921;;;;;;2.648;119.796;206.301;-240.830;-34.529;;;;;;;;;;;;;;;;;;;;;;;;;;1.829;118.209;131.503;-140.575;-9.072;;;;;;1.641;119.703;107.136;-115.736;-8.600;;;;;;1.724;117.362;109.882;-115.980;-6.097;;;;;;1.711;117.655;109.753;-119.058;-9.306;;;;;;2.414;116.256;188.642;-217.348;-28.706;;;;;;2.472;113.576;189.417;-224.701;-35.285;;;;;;1.636;117.492;98.323;-105.838;-7.515;;;;;;1.606;117.734;95.546;-105.403;-9.857;;;
2.623;121.532;207.597;-229.571;-21.97;;;;;;2.795;120.486;206.847;-235.211;-28.365;;;;;;2.626;119.805;206.464;-241.269;-34.804;;;;;;;;;;;;;;;;;;;;;;;;;;1.865;117.918;135.484;-144.955;-9.471;;;;;;1.641;119.647;107.207;-115.818;-8.611;;;;;;1.751;117.116;113.133;-119.453;-6.319;;;;;;1.738;117.368;113.427;-122.986;-9.559;;;;;;2.423;116.055;189.322;-218.471;-29.149;;;;;;2.475;113.563;189.416;-224.786;-35.370;;;;;;1.660;117.342;101.156;-108.836;-7.680;;;;;;1.631;117.592;98.688;-108.764;-10.076;;;
2.597;121.610;207.380;-229.600;-22.22;;;;;;2.788;120.321;207.570;-236.400;-28.830;;;;;;2.605;119.861;206.372;-241.390;-35.018;;;;;;;;;;;;;;;;;;;;;;;;;;1.901;117.643;139.228;-149.111;-9.882;;;;;;1.642;119.485;108.543;-117.034;-8.491;;;;;;1.775;117.027;115.121;-121.652;-6.531;;;;;;1.762;117.244;115.872;-125.691;-9.819;;;;;;2.432;115.823;189.950;-219.485;-29.535;;;;;;2.478;113.491;189.475;-224.920;-35.446;;;;;;1.685;117.082;104.571;-112.418;-7.848;;;;;;1.655;117.322;102.025;-112.314;-10.288;;;
2.570;121.735;207.029;-229.438;-22.41;;;;;;2.779;120.155;208.293;-237.603;-29.310;;;;;;2.608;119.857;206.624;-241.637;-35.014;;;;;;;;;;;;;;;;;;;;;;;;;;1.936;117.386;142.700;-153.006;-10.305;;;;;;1.679;119.097;113.397;-122.335;-8.938;;;;;;1.805;116.625;119.305;-126.063;-6.758;;;;;;1.788;117.052;118.747;-128.827;-10.080;;;;;;2.440;115.565;190.474;-220.340;-29.866;;;;;;2.483;113.468;189.715;-225.239;-35.523;;;;;;1.708;116.958;107.137;-115.156;-8.018;;;;;;1.680;117.137;105.142;-115.642;-10.500;;;
2.545;121.878;206.652;-229.195;-22.54;;;;;;2.769;119.992;208.989;-238.783;-29.794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.971;117.140;145.948;-156.690;-10.742;;;;;;1.717;118.730;117.776;-127.159;-9.382;;;;;;1.828;116.686;120.513;-127.498;-6.985;;;;;;1.815;116.854;121.788;-132.130;-10.343;;;;;;2.448;115.279;190.996;-221.139;-30.143;;;;;;2.484;113.437;189.479;-225.072;-35.593;;;;;;1.735;116.702;110.602;-118.798;-8.196;;;;;;1.704;117.011;107.844;-118.552;-10.708;;;
2.526;122.005;206.320;-228.955;-22.64;;;;;;2.758;119.836;209.658;-239.934;-30.276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.004;116.897;148.920;-160.114;-11.194;;;;;;1.758;118.334;122.750;-132.582;-9.832;;;;;;1.856;116.331;124.329;-131.606;-7.276;;;;;;1.839;116.769;123.759;-134.368;-10.609;;;;;;2.456;114.978;191.345;-221.714;-30.369;;;;;;2.489;113.387;189.896;-225.562;-35.666;;;;;;1.759;116.596;113.090;-121.471;-8.380;;;;;;1.730;116.794;110.956;-121.877;-10.921;;;
2.515;122.080;206.122;-228.828;-22.71;;;;;;2.745;119.689;210.283;-241.031;-30.748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.036;116.658;151.759;-163.424;-11.665;;;;;;1.800;117.927;127.878;-138.171;-10.293;;;;;;1.881;116.239;126.567;-134.112;-7.546;;;;;;1.866;116.572;126.860;-137.746;-10.886;;;;;;2.464;114.652;191.832;-222.383;-30.551;;;;;;2.491;113.366;189.826;-225.552;-35.726;;;;;;1.786;116.382;116.376;-124.949;-8.573;;;;;;1.754;116.671;113.628;-124.764;-11.136;;;
2.509;122.109;206.033;-228.799;-22.77;;;;;;2.731;119.554;210.861;-242.062;-31.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.067;116.425;154.340;-166.502;-12.162;;;;;;1.841;117.580;132.420;-143.187;-10.767;;;;;;1.907;116.050;129.350;-137.176;-7.826;;;;;;1.890;116.519;128.706;-139.876;-11.170;;;;;;2.472;114.319;192.210;-222.898;-30.688;;;;;;2.494;113.338;189.939;-225.720;-35.780;;;;;;1.812;116.229;119.290;-128.067;-8.777;;;;;;1.780;116.471;116.793;-128.143;-11.350;;;
