CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}	CO_{2}			BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}	BH_{3}			AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}	AlH_{3}			NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}	NMe_{3}			PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}	PMe_{3}			NCB	NCB	NCB	NCB	NCB	NCB	NCB	NCB			NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl	NCAl			PCB	PCB	PCB	PCB	PCB	PCB	PCB	PCB			PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl	PCAl
BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI			BH	OCO	Frag BH3	Frag CO2	Pauli	Elstat	Steric	OI
1.855	131.290	66.461	52.143	495.946	-209.506	286.440	-399.202			2.549	120.644	107.526	76.115	674.382	-278.059	396.322	-610.002			2.441	124.342	97.985	57.770	668.044	-263.818	404.227	-580.513			1.200	170.046	0.044	0.249	16.178	-8.883	7.295	-8.866			1.241	134.949	2.279	1.448	118.375	-66.125	52.251	-78.699			1.217	131.215	0.038	-0.153	92.487	-58.656	33.831	-63.280			1.233	130.110	-0.046	0.116	98.269	-61.244	37.024	-67.729			1.219	129.127	-0.505	-0.172	58.769	-34.438	24.330	-40.294			1.210	126.684	-0.079	-0.096	104.504	-63.861	40.643	-70.921
1.805	132.184	62.615	49.995	480.075	-203.482	276.593	-382.418			2.548	120.676	107.509	76.034	674.734	-278.179	396.555	-610.116			2.438	124.377	97.744	57.893	668.255	-263.742	404.514	-580.519			1.200	170.060	0.034	0.243	16.241	-8.904	7.337	-8.888			1.240	134.899	2.322	1.544	119.359	-66.583	52.776	-79.234			1.217	131.216	-0.006	-0.150	92.365	-58.594	33.771	-63.189			1.233	130.069	-0.115	0.110	98.001	-61.095	36.906	-67.535			1.219	129.125	-0.538	-0.184	58.581	-34.322	24.259	-40.158			1.210	126.696	-0.116	-0.056	104.355	-63.788	40.568	-70.849
1.757	133.095	58.729	47.842	464.152	-197.448	266.704	-365.672			2.547	120.684	107.506	76.011	674.606	-278.125	396.482	-609.987			2.437	124.377	97.623	57.773	667.409	-263.277	404.132	-579.772			1.200	170.040	0.030	0.229	16.317	-8.937	7.380	-8.924			1.241	134.797	2.466	1.618	120.462	-67.136	53.327	-79.914			1.217	131.195	0.023	-0.118	92.370	-58.623	33.747	-63.203			1.233	130.063	-0.045	0.139	98.492	-61.347	37.145	-67.863			1.219	129.122	-0.569	-0.200	58.370	-34.191	24.178	-40.012			1.210	126.672	-0.088	-0.003	104.301	-63.783	40.517	-70.835
1.712	133.989	54.956	45.797	448.641	-191.567	257.074	-349.545			2.547	120.672	107.481	76.052	674.098	-277.864	396.235	-609.721			2.436	124.476	97.491	57.567	666.773	-262.985	403.788	-578.961			1.200	170.013	0.031	0.272	16.354	-8.953	7.401	-8.944			1.242	134.644	2.635	1.692	121.272	-67.498	53.773	-80.479			1.217	131.191	-0.030	-0.118	92.470	-58.650	33.820	-63.216			1.233	130.068	-0.155	0.102	98.129	-61.123	37.006	-67.581			1.219	129.117	-0.579	-0.234	58.140	-34.042	24.098	-39.858			1.211	126.694	-0.130	0.096	104.296	-63.808	40.489	-70.848
1.672	134.828	51.432	43.911	434.241	-186.062	248.178	-334.655			2.545	120.692	107.461	75.954	674.572	-278.114	396.458	-609.795			2.434	124.494	97.326	57.488	665.829	-262.418	403.411	-578.241			1.200	170.014	0.044	0.250	16.385	-8.969	7.415	-8.970			1.243	134.674	2.749	1.706	122.436	-68.060	54.375	-81.133			1.217	131.207	-0.015	-0.129	92.335	-58.585	33.750	-63.138			1.233	130.102	-0.145	0.078	98.262	-61.165	37.097	-67.648			1.219	129.305	-0.663	-0.217	57.913	-33.902	24.011	-39.674			1.210	126.707	-0.094	0.070	104.160	-63.694	40.466	-70.743
1.633	135.671	48.016	42.076	419.734	-180.490	239.244	-320.017			2.545	120.702	107.467	75.895	674.022	-277.970	396.052	-609.317			2.432	124.525	97.099	57.440	663.905	-261.622	402.283	-576.611			1.200	169.981	0.043	0.276	16.445	-8.998	7.447	-9.002			1.243	134.608	2.907	1.866	123.548	-68.612	54.936	-81.874			1.217	131.221	-0.041	-0.131	92.163	-58.493	33.670	-63.022			1.233	130.081	-0.084	0.132	98.256	-61.212	37.044	-67.692			1.219	129.228	-0.679	-0.231	57.757	-33.804	23.953	-39.567			1.210	126.729	-0.160	0.091	103.982	-63.604	40.378	-70.608
1.598	136.470	44.886	40.366	406.083	-175.215	230.868	-306.380			2.544	120.723	107.466	75.786	675.153	-278.405	396.748	-609.853			2.432	124.612	97.241	57.291	665.64	-262.25	403.390	-577.557			1.201	169.953	0.045	0.251	16.507	-9.021	7.486	-9.029			1.244	134.473	3.021	2.026	124.436	-69.106	55.329	-82.458			1.217	131.219	-0.044	-0.134	92.142	-58.477	33.665	-63.011			1.233	130.095	-0.100	0.109	98.292	-61.196	37.095	-67.705			1.219	129.229	-0.699	-0.192	57.593	-33.723	23.870	-39.478			1.210	126.768	-0.160	0.077	104.003	-63.603	40.400	-70.602
1.565	137.278	41.832	38.680	392.275	-169.862	222.412	-292.850			2.544	120.772	107.467	75.594	674.636	-278.275	396.361	-609.297			2.429	124.677	97.047	57.151	664.803	-261.743	403.060	-576.638			1.201	169.998	0.052	0.282	16.55	-9.038	7.512	-9.058			1.244	134.439	3.147	2.191	125.728	-69.722	56.006	-83.208			1.217	131.228	-0.069	-0.144	92.036	-58.405	33.631	-62.934			1.232	130.092	-0.103	0.128	98.359	-61.228	37.131	-67.745			1.219	129.338	-0.731	-0.264	57.487	-33.614	23.874	-39.361			1.210	126.784	-0.151	0.068	104.014	-63.597	40.417	-70.607
1.534	138.109	38.943	37.013	378.357	-164.406	213.951	-279.540			2.542	120.820	107.399	75.600	676.073	-278.616	397.457	-610.341			2.427	124.735	96.861	57.030	664.154	-261.375	402.779	-575.882			1.200	170.014	0.067	0.319	16.584	-9.052	7.533	-9.090			1.245	134.354	3.273	2.356	126.703	-70.253	56.450	-83.879			1.217	131.254	-0.078	-0.144	91.931	-58.350	33.580	-62.853			1.232	130.101	-0.108	0.102	98.267	-61.164	37.103	-67.673			1.220	129.316	-0.720	-0.293	57.386	-33.537	23.849	-39.287			1.210	126.780	-0.157	0.057	104.019	-63.593	40.426	-70.602
1.505	139.003	36.132	35.283	363.586	-158.552	205.034	-265.796			2.542	120.843	107.375	75.491	674.684	-278.450	396.234	-608.969			2.425	124.799	96.675	56.907	663.656	-261.034	402.622	-575.196			1.200	170.011	0.070	0.340	16.66	-9.083	7.577	-9.127			1.246	134.342	3.464	2.396	127.668	-70.706	56.963	-84.500			1.217	131.274	-0.074	-0.137	91.847	-58.303	33.544	-62.799			1.232	130.085	-0.118	0.115	98.142	-61.103	37.039	-67.599			1.219	129.229	-0.793	-0.293	56.965	-33.281	23.684	-39.017			1.211	126.801	-0.150	0.064	104.105	-63.636	40.469	-70.651
