CO_{2}	CO_{2}	CO_{2} - BH3	CO_{2} - BH3	CO_{2} - BH3						BH_{3}	BH_{3}	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - BH3	BH_{3} - Add-CO2	BH_{3} - Add-CO2	BH_{3} - Add-CO2			AlH_{3}	AlH_{3}	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - BH3	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2	AlH_{3} - Add-CO2			NMe_{3}	NMe_{3}	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - BH3	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2	NMe_{3} - Add-CO2			PMe_{3}	PMe_{3}	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - BH3	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2	PMe_{3} - Add-CO2			NCB	NCB	NCB - BH3	NCB - BH3	NCB - BH3	NCB - Add-CO2	NCB - Add-CO2	NCB - Add-CO2			NCAl	NCAl	NCAl - BH3	NCAl - BH3	NCAl - BH3	NCAl - Add-CO2	NCAl - Add-CO2	NCAl - Add-CO2			PCB	PCB	PCB - BH3	PCB - BH3	PCB - BH3	PCB - Add-CO2	PCB - Add-CO2	PCB - Add-CO2			PCAl	PCAl	PCAl - BH3	PCAl - BH3	PCAl - BH3	PCAl - Add-CO2	PCAl - Add-CO2	PCAl - Add-CO2
BH distance	OCO angle	Strain	Interaction	Total Energy						BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy			BH distance	OCO angle	Strain	Interaction	Total Energy	Strain	Interaction	Total Energy
1.906	130.411	124.641	-121.049	3.592						2.550	120.598	184.693	-215.326	-30.633						2.442	124.250	157.202	-178.344	-21.142						1.200	170.035	1.594	-5.512	-3.918	5.512	-8.944	-3.432			1.240	134.978	36.895	-30.423	6.472	54.417	-47.720	6.698			1.217	131.137	15.399	-32.649	-17.250	74.282	-91.719	-17.513			1.233	130.061	16.712	-33.845	-17.133	75.608	-92.764	-17.156			1.219	129.121	9.308	-19.430	-10.123	81.386	-91.563	-10.177			1.210	126.627	16.670	-33.241	-16.571	89.061	-105.550	-16.489
1.855	131.290	118.755	-114.188	4.567						2.549	120.644	184.567	-215.182	-30.615						2.441	124.342	156.780	-177.756	-20.977						1.200	170.046	1.598	-5.496	-3.899	5.525	-8.934	-3.408			1.241	134.949	37.102	-30.506	6.596	54.447	-47.632	6.815			1.217	131.215	15.380	-32.632	-17.251	74.209	-91.584	-17.451			1.233	130.110	16.742	-33.859	-17.116	75.475	-92.615	-17.140			1.219	129.127	9.267	-19.364	-10.097	81.352	-91.527	-10.175			1.210	126.684	16.714	-33.205	-16.492	88.969	-105.425	-16.456
1.805	132.184	112.761	-107.263	5.498						2.548	120.676	184.469	-215.063	-30.595						2.438	124.377	156.663	-177.478	-20.815						1.200	170.060	1.582	-5.480	-3.898	5.514	-8.920	-3.407			1.240	134.899	37.241	-30.516	6.725	54.366	-47.455	6.910			1.217	131.216	15.339	-32.602	-17.262	74.143	-91.522	-17.455			1.233	130.069	16.666	-33.784	-17.118	75.565	-92.703	-17.139			1.219	129.125	9.222	-19.302	-10.080	81.360	-91.516	-10.156			1.210	126.696	16.716	-33.209	-16.493	88.866	-105.338	-16.472
1.757	133.095	106.723	-100.419	6.304						2.547	120.684	184.442	-215.009	-30.566						2.437	124.377	156.421	-177.113	-20.692						1.200	170.040	1.564	-5.476	-3.911	5.505	-8.922	-3.417			1.241	134.797	37.459	-30.644	6.815	54.665	-47.641	7.024			1.217	131.195	15.400	-32.640	-17.240	74.091	-91.454	-17.440			1.233	130.063	16.766	-33.871	-17.104	75.667	-92.798	-17.130			1.219	129.122	9.174	-19.239	-10.065	81.385	-91.522	-10.138			1.210	126.672	16.797	-33.248	-16.451	88.968	-105.427	-16.459
1.712	133.989	100.904	-93.933	6.971						2.547	120.672	184.459	-214.990	-30.530						2.436	124.476	156.084	-176.647	-20.563						1.200	170.013	1.608	-5.476	-3.868	5.549	-8.929	-3.380			1.242	134.644	37.701	-30.762	6.939	54.898	-47.755	7.143			1.217	131.191	15.348	-32.579	-17.232	74.188	-91.531	-17.419			1.233	130.068	16.619	-33.728	-17.109	75.542	-92.674	-17.133			1.219	129.117	9.131	-19.168	-10.037	81.456	-91.561	-10.105			1.211	126.694	16.855	-33.291	-16.436	88.757	-105.212	-16.455
1.672	134.828	95.495	-87.950	7.545						2.545	120.692	184.341	-214.841	-30.500						2.434	124.494	155.839	-176.306	-20.467						1.200	170.014	1.599	-5.488	-3.889	5.523	-8.927	-3.404			1.243	134.674	37.830	-30.812	7.019	54.693	-47.468	7.225			1.217	131.207	15.351	-32.571	-17.220	74.103	-91.424	-17.397			1.233	130.102	16.605	-33.703	-17.098	75.532	-92.642	-17.110			1.219	129.305	9.063	-19.073	-10.010	80.982	-91.077	-10.094			1.210	126.707	16.864	-33.211	-16.347	88.841	-105.308	-16.466
1.633	135.671	90.243	-82.257	7.985						2.545	120.702	184.287	-214.769	-30.482						2.432	124.525	155.564	-175.807	-20.243						1.200	169.981	1.624	-5.490	-3.866	5.552	-8.933	-3.381			1.243	134.608	38.148	-30.990	7.158	54.602	-47.282	7.321			1.217	131.221	15.324	-32.537	-17.214	74.027	-91.323	-17.372			1.233	130.081	16.720	-33.801	-17.081	75.458	-92.563	-17.105			1.219	129.228	9.034	-19.025	-9.991	81.151	-91.218	-10.067			1.210	126.729	16.820	-33.165	-16.345	88.752	-105.222	-16.470
1.598	136.470	85.404	-77.007	8.397						2.544	120.723	184.178	-214.609	-30.432						2.432	124.612	155.557	-175.643	-20.087						1.201	169.953	1.601	-5.481	-3.880	5.550	-8.943	-3.393			1.244	134.473	38.421	-31.181	7.240	54.858	-47.456	7.402			1.217	131.219	15.316	-32.531	-17.214	74.055	-91.349	-17.370			1.233	130.095	16.682	-33.761	-17.080	75.482	-92.578	-17.096			1.219	129.229	9.053	-19.021	-9.968	81.096	-91.106	-10.010			1.210	126.768	16.805	-33.139	-16.334	88.681	-105.131	-16.451
1.565	137.278	80.663	-71.946	8.717						2.544	120.772	183.987	-214.440	-30.453						2.429	124.677	155.223	-175.057	-19.835						1.201	169.998	1.639	-5.487	-3.848	5.548	-8.926	-3.378			1.244	134.439	38.713	-31.252	7.461	54.831	-47.303	7.528			1.217	131.228	15.282	-32.488	-17.206	74.014	-91.302	-17.364			1.232	130.092	16.697	-33.766	-17.068	75.477	-92.562	-17.085			1.219	129.338	8.948	-18.902	-9.953	80.983	-90.936	-9.952			1.210	126.784	16.805	-33.129	-16.324	88.583	-105.065	-16.482
1.534	138.109	76.106	-67.112	8.994						2.542	120.820	183.925	-214.389	-30.464						2.427	124.735	154.916	-174.583	-19.667						1.200	170.014	1.691	-5.500	-3.809	5.560	-8.920	-3.360			1.245	134.354	39.004	-31.479	7.524	55.230	-47.640	7.590			1.217	131.254	15.274	-32.460	-17.186	73.922	-91.199	-17.353			1.232	130.101	16.666	-33.721	-17.055	75.439	-92.501	-17.062			1.220	129.316	8.931	-18.854	-9.924	81.085	-91.035	-9.951			1.210	126.780	16.788	-33.116	-16.327	88.644	-105.129	-16.486
