Wavelength (nm);x(λ);y(λ);z(λ);CIE D65 S(λ)
508;0.003647885;0.466251277;0.173948894;108.078125
509;0.006321847;0.48516484;0.162467635;107.9800575
510;0.0093;0.503;0.1582;107.8
511;0.013106107;0.523839226;0.141362075;107.773512
512;0.017211899;0.543497797;0.131690301;107.6651847
513;0.021788722;0.563296591;0.122574437;107.5537765
514;0.026831739;0.583176442;0.113991185;107.4396267
515;0.0291;0.6082;0.1117;106.3
516;0.038292102;0.622932385;0.098330833;107.2048492
517;0.044694994;0.64268196;0.091208814;107.0852437
518;0.051535273;0.662261061;0.084529666;106.9649086
519;0.058803625;0.681606804;0.078272055;106.8444302
520;0.0633;0.71;0.0782;104.79
521;0.074583776;0.719355191;0.066938759;106.6053758
522;0.083073663;0.737642794;0.06182313;106.4879116
523;0.091947964;0.755468305;0.057049202;106.3724978
524;0.101194572;0.772783579;0.052598505;106.2595703
525;0.1096;0.7932;0.0573;106.24
526;0.120754876;0.805714587;0.044596093;106.042551
527;0.131043225;0.821258766;0.041010625;105.9389335
528;0.141653371;0.836149988;0.037680895;105.8387339
529;0.15257262;0.850366021;0.034591651;105.7419407
530;0.1655;0.862;0.0422;107.69
531;0.17528848;0.876710401;0.029076839;105.5579823
532;0.187060773;0.88882051;0.026623982;105.4702457
533;0.199093679;0.90021838;0.024357016;105.3847743
534;0.211376016;0.910906317;0.022263857;105.3010133
535;0.2257;0.9149;0.0298;106.05
536;0.236646782;0.93018044;0.018553626;105.1359126
537;0.249615513;0.938788694;0.016915345;105.0529947
538;0.262794342;0.946730212;0.015408422;104.9686499
539;0.276174949;0.954021958;0.01402364;104.8819107
540;0.2904;0.954;0.0203;104.41
541;0.303511378;0.9667313;0.011586216;104.6971412
542;0.317453695;0.972188874;0.01051768;104.5969795
543;0.331570737;0.977075866;0.009539454;104.4901893
544;0.345857188;0.981412998;0.008644748;104.3756927
545;0.3597;0.9803;0.0134;104.23
546;0.374919479;0.988518941;0.007080855;104.1193948
547;0.389686921;0.991326842;0.006400151;103.9756088
548;0.404606824;0.993662664;0.005779896;103.8201759
549;0.419675657;0.995543577;0.00521525;103.6522762
550;0.4334;0.995;0.0087;104.05
551;0.450246393;0.998003338;0.004235074;103.2762712
552;0.465741322;0.998610287;0.003811464;103.0670348
553;0.481371012;0.998818451;0.003427266;102.8430891
554;0.497131355;0.99863851;0.003079138;102.6041821
555;0.5121;1;0.0057;102.02
556;0.529025131;0.997150376;0.002478948;102.0811701
557;0.545147554;0.995857004;0.002221389;101.7972672
558;0.561378365;0.994205284;0.001988872;101.4988111
559;0.577709946;0.992199703;0.001779157;101.1862677
560;0.5945;0.995;0.0039;100
561;0.610639565;0.987139907;0.001420055;100.5214943
562;0.627216688;0.984089964;0.001267035;100.1708937
563;0.643852556;0.980694927;0.001129528;99.80945093
564;0.660533305;0.976955231;0.001006076;99.43828937
565;0.6784;0.9786;0.0027;98.17
566;0.693966428;0.968441386;0.000796112;98.67182076
567;0.710683348;0.963666254;0.000707268;98.2792414
568;0.727374164;0.958544739;0.000627796;97.88237154
569;0.744017049;0.953076151;0.000556774;97.48273466
570;0.7621;0.952;0.0021;96.33
571;0.77706344;0.941095781;0.000436792;96.68142017
572;0.793415058;0.934583735;0.000386376;96.2829072
573;0.809615043;0.927724303;0.000341485;95.8879235
574;0.82563355;0.920518539;0.000301549;95.49801164
575;0.8425;0.9154;0.0018;96.06
576;0.856999638;0.905075503;0.000234534;94.73933114
577;0.872280718;0.896843829;0.00020657;94.37335837
578;0.887247546;0.888277141;0.000181784;94.01801972
579;0.90186416;0.879380348;0.000159833;93.67448038
580;0.9163;0.87;0.0017;95.79
581;0.929898926;0.860620681;0.000123245;93.02686838
582;0.943241695;0.850772273;0.000108083;92.72450256
583;0.956083842;0.840622696;9.47044E-05;92.43733216
584;0.968387032;0.830181519;8.29104E-05;92.16584617
585;0.9786;0.8163;0.0014;92.24
586;0.991223923;0.808467104;6.33815E-05;91.67110035
587;1.001682313;0.797217333;5.53448E-05;91.44802806
588;1.011451559;0.785722794;4.82855E-05;91.24101449
589;1.020495986;0.773997065;4.20903E-05;91.04975587
590;1.0263;0.757;0.0011;88.69
591;1.036273849;0.749909355;3.18998E-05;90.71252655
592;1.042942759;0.737577282;2.7735E-05;90.56520532
593;1.048758219;0.725073668;2.40932E-05;90.43095424
594;1.053692655;0.712414331;2.09115E-05;90.30877521
595;1.0567;0.6949;0.001;89.35
596;1.060819502;0.686692589;1.57124E-05;90.0961067
597;1.062968664;0.673662387;1.36023E-05;90.00312649
